sale_id,listing_id,customer_id,agent_id,sale_date,sold_price,commission_rate,commission_value,payment_status
S000002,LST-00002,C031672,A1152,8/21/2024,13397384,0.028,375127,Paid
S000005,LST-00005,C005881,A1575,4/4/2024,11237816,0.027,303421,Paid
S000006,LST-00006,C022354,A1702,8/18/2024,1341208,0.027,36213,Paid
S000007,LST-00007,C046264,A3156,9/3/2024,6820348,0.028,190970,Paid
S000010,LST-00010,C029188,A0472,8/27/2024,18556689,0.028,519587,Paid
S000012,LST-00012,C034273,A0872,2/26/2024,30686517,0.022,675103,Paid
S000013,LST-00013,C021860,A2806,9/14/2024,21728972,0.022,478037,Paid
S000016,LST-00016,C012551,A3202,10/24/2024,8573419,0.028,240056,Paid
S000017,LST-00017,C049223,A0082,8/26/2024,7309982,0.028,204679,Paid
S000019,LST-00019,C018893,A0534,5/12/2024,2663765,0.028,74585,Paid
S000020,LST-00020,C020312,A3107,4/8/2024,3096310,0.028,86697,Paid
S000021,LST-00021,C030025,A1669,9/30/2024,5873082,0.028,164446,Paid
S000027,LST-00027,C017733,A2971,8/31/2024,4948759,0.028,138565,Paid
S000028,LST-00028,C008714,A0203,2/17/2024,5463344,0.028,152974,Paid
S000030,LST-00030,C024582,A0665,9/17/2024,13809700,0.028,386672,Paid
S000033,LST-00033,C022462,A0518,1/31/2024,17544763,0.027,473709,Paid
S000034,LST-00034,C042174,A2856,4/27/2024,8292443,0.028,232188,Paid
S000035,LST-00035,C017239,A3007,3/19/2024,6473779,0.028,181266,Paid
S000038,LST-00038,C049528,A3225,4/7/2024,9395273,0.028,263068,Paid
S000040,LST-00040,C020049,A0328,2/17/2024,25734230,0.022,566153,Paid
S000042,LST-00042,C041271,A0789,4/24/2024,34798916,0.022,765576,Paid
S000044,LST-00044,C015443,A2265,8/19/2024,6058281,0.028,169632,Paid
S000046,LST-00046,C038400,A2282,3/20/2024,1955538,0.022,43022,Paid
S000047,LST-00047,C024872,A1238,5/1/2024,27790542,0.027,750345,Paid
S000048,LST-00048,C044802,A0220,4/6/2024,4859480,0.028,136065,Paid
S000049,LST-00049,C008902,A2814,8/16/2024,2677699,0.028,74976,Paid
S000050,LST-00050,C021650,A2837,8/26/2024,5343797,0.028,149626,Paid
S000052,LST-00052,C025926,A0892,8/3/2024,22432105,0.027,605667,Paid
S000055,LST-00055,C030370,A0140,8/8/2024,5680529,0.028,159055,Paid
S000056,LST-00056,C031071,A1331,9/25/2024,5249306,0.028,146981,Paid
S000057,LST-00057,C023268,A2964,10/16/2024,13394621,0.028,375049,Paid
S000059,LST-00059,C039829,A2183,4/7/2024,5163884,0.028,144589,Paid
